id,name,address,latitude,longitude,image
1,New York Public Library - Stephen A. Schwarzman Building,"5th Avenue at 42nd St, New York, NY 10018",40.7537842,-73.9842962,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7535965,-73.9854213&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
2,Apple Store,"103 Prince Street, New York, NY 10012",40.7251147,-74.0011573,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7251147,-74.0011573&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
3,David Rubenstein Atrium at Lincoln Center,"61 West 62nd St, New York, NY 10023",40.7712983,-73.9851203,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7712983,-73.9851203&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
4,Barnes & Noble,"555 5th Avenue, New York, NY 10037",40.7556593,-73.9809272,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7556593,-73.9809272&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
5,Morton Williams,"908 2nd Avenue, New York, NY 10017",40.7537384,-73.9711804,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7537384,-73.9711804&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
6,Indikitch,"25 West 23rd Street, New York, NY 10010",40.7421758,-73.9926598,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7421758,-73.9926598&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
7,Home Depot,"40 West 23rd Street, New York, NY 10010",40.74185,-73.9936085,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.74185,-73.9936085&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
8,Lowe's Home Improvement," 118 2nd Avenue, Brooklyn, NY 11215",40.6717873,-73.9973587,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.6717873,-73.9973587&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
9,Gregory's Coffee,"6 E 46th Street, New York, NY 10017",40.7555254,-73.9806329,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7555254,-73.9806329&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
10,Ziegfeld Theatre,"141 West 54th Street, New York, NY 10019",40.7631786,-73.9819993,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7631786,-73.9819993&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
